min,normalized_venue
2003,wias
1985,uai
1990,tslp
1984,tfs
1998,taslp
1982,tap
1990,talip
1962,prl
1990,pricai
1996,paa
1994,npl
1987,nips
1979,neural networks
1992,nca
1980,nc
1990,natural language engineering
1991,naacl
1964,machine translation
2006,ksem
1980,kr
1987,kbs
1984,jmlr
1989,jetai
1978,jar
1993,jair
2010,international journal of applied evolutionary computation
1991,ilp
1976,ijprai
1983,ijis
1994,ijdar
1968,ijcv
1987,ijcnn
1999,ijcia
1902,ijcai
1971,ijar
1989,ieee transactions on neural networks
2010,ieee transactions on affective computing
1997,ida
1992,ictai
1962,icra
1976,icpr
1991,iconip
1984,icml
1991,icdar
1987,iccv
1995,iccbr
1981,icb
2003,icaps
1989,icann
1966,gecco
1998,emnlp
1946,eccv
1976,ecai
1977,dss
1982,cvpr
1993,cviu
1986,computer speech language
1960,colt
1965,coling
1970,cl
1985,ci
1990,bmvc
1990,alt
1970,aim
1963,ai
1940,acl
1993,accv
1990,aamas
1979,aaai
