venue,hindex
aaai,28
aamas,43
accv,31
acl,35
ai,61
aim,42
alt,24
bmvc,28
ci,31
cl,28
coling,29
colt,25
computer speech language,39
cviu,56
cvpr,44
dss,69
ecai,17
eccv,37
emnlp,36
gecco,29
icann,23
icaps,14
icb,20
iccbr,20
iccv,36
icdar,19
icml,30
iconip,22
icpr,26
icra,30
ictai,20
ida,27
ieee transactions on affective computing,32
ieee transactions on neural networks,47
ijar,47
ijcai,28
ijcia,17
ijcnn,22
ijcv,62
ijdar,34
ijis,26
ijprai,28
ilp,22
international journal of applied evolutionary computation,19
jair,50
jar,32
jetai,31
jmlr,50
kbs,59
kr,19
ksem,18
machine translation,26
naacl,27
natural language engineering,29
nc,38
nca,53
neural networks,79
nips,28
npl,36
paa,42
pricai,19
prl,53
talip,27
tap,34
taslp,35
tfs,41
tslp,25
uai,19
wias,21
